query,intent
Car with intelligent automatic transmission,automatic
Affordable reliable Indian car,budget
Car with sporty gear ratios,performance
Car with low insurance premium,budget
People carrier with 3 rows India,family
Car with sporty suspension setup,performance
Safest sedan India,safety
Car with rear USB ports family,family
Car with lowest fuel cost per km,mileage
Car with adjustable driver seat,comfort
Best value for money car India,budget
Car for off road driving,off_road
Value for money hatchback,budget
Car with best mileage in class,mileage
Car with child safety locks,safety
Automatic hybrid car India,automatic
Car with children in mind,family
Most fuel efficient car India,mileage
